tract,Name,Household_Income_rP_gP_p25
27123042601,"North Saint Paul, MN",29626
27053021501,"Minneapolis, MN",29572
27053104900,"University of Minnesota - Twin Cities, Minneapolis, MN",29538
27053012101,"Nokomis, Minneapolis, MN",29502
27053006800,"Powderhorn, Minneapolis, MN",29458
27123031000,"Payne - Phalen, Saint Paul, MN",29416
27053026819,"Brooklyn Park, MN",29228
27053000101,"Shingle Creek, Minneapolis, MN",29134
27053104400,"Downtown West, Minneapolis, MN",29022
27053104800,"Cedar-Riverside, Minneapolis, MN",29019
27053012102,"Nokomis, Minneapolis, MN",29017
27053100200,"Webber-Camden, Minneapolis, MN",29009
27053100400,"Webber-Camden, Minneapolis, MN",28949
27123033700,"Summit - University, Saint Paul, MN",28910
27123042900,"Summit - University, Saint Paul, MN",28745
27123033400,"Snelling Hamline, Saint Paul, MN",28725
27123037602,"Highland, Saint Paul, MN",28689
27053110200,"Powderhorn, Minneapolis, MN",28684
27053108800,"Longfellow, Minneapolis, MN",28596
27053009600,"Powderhorn, Minneapolis, MN",28511
27037060717,"Eagan, MN",28473
27053005901,"Central Minneapolis, Minneapolis, MN",28455
27053026809,"Minneapolis, MN",28413
27053109300,"Lyndale, Minneapolis, MN",28284
27037060728,"Eagan, MN",28265
27037060401,"South Saint Paul, MN",28230
27053102300,"Hawthorne, Minneapolis, MN",28223
27053106700,"Lowry Hill East, Minneapolis, MN",28133
27053103900,"Marcy-Holmes, Minneapolis, MN",28041
27053012003,"Southwest Minneapolis, Minneapolis, MN",28012
27053108700,"Corcoran, Minneapolis, MN",27984
27123031400,"North End, Saint Paul, MN",27938
27053107400,"Longfellow, Minneapolis, MN",27935
27123036900,"West Seventh, Saint Paul, MN",27854
27053110400,"Minneapolis, MN",27793
27053008300,"Central, Minneapolis, MN",27724
27053108600,"Corcoran, Minneapolis, MN",27550
27053002400,"Northeast Minneapolis, Minneapolis, MN",27528
27053008400,"Powderhorn, Minneapolis, MN",27461
27053000601,"Northeast Minneapolis, Minneapolis, MN",27442
27053109400,"Powderhorn, Minneapolis, MN",27409
27053101600,"Hawthorne, Minneapolis, MN",27387
27123031600,"Payne - Phalen, Saint Paul, MN",27284
27123032400,"Thomas - Dale, Saint Paul, MN",27281
27053102600,"Beltrami, Minneapolis, MN",27251
27053106200,"Seward, Minneapolis, MN",27218
27053100700,"Cleveland, Minneapolis, MN",27144
27053000102,"Lind-Bohanon, Minneapolis, MN",27126
27053100800,"Folwell, Minneapolis, MN",27013
27053001100,"Northeast Minneapolis, Minneapolis, MN",26841
27123034500,"Dayton's Bluff, Saint Paul, MN",26840
27053101800,"Northeast Minneapolis, Minneapolis, MN",26677
27053101900,"Northeast Minneapolis, Minneapolis, MN",26667
27053110900,"Nokomis, Minneapolis, MN",26509
27053007801,"Whittier, Minneapolis, MN",26317
27123033500,"Summit - University, Saint Paul, MN",26070
27053102900,"Near North, Minneapolis, MN",26004
27053109200,"Minneapolis, MN",25973
27123034202,"Downtown, Saint Paul, MN",25971
27053007700,"Minneapolis, MN",25900
